"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"177","Kern","CA",2009,28590,"Dollars",0
"178","Kern","CA",2008,29194,"Dollars",0
"179","Kern","CA",2007,28861,"Dollars",0
"180","Kern","CA",2006,27293,"Dollars",0
"181","Kings","CA",2013,29642,"Dollars",0
"182","Kings","CA",2014,32810,"Dollars",0
"183","Kings","CA",2015,32733,"Dollars",0
"184","Kings","CA",2004,23201,"Dollars",0
"185","Kings","CA",2005,23663,"Dollars",0
"186","Kings","CA",2006,23514,"Dollars",0
"187","Kings","CA",2007,26563,"Dollars",0
"188","Kings","CA",2008,25479,"Dollars",0
"189","Kings","CA",2009,24494,"Dollars",0
"190","Kings","CA",2010,26345,"Dollars",0
"191","Kings","CA",2011,29308,"Dollars",0
"192","Kings","CA",2012,28626,"Dollars",0
"193","Lake","CA",2013,32632,"Dollars",0
"194","Lake","CA",2014,34201,"Dollars",0
"195","Lake","CA",2015,35796,"Dollars",0
"196","Lake","CA",2004,26568,"Dollars",0
"197","Lake","CA",2005,26722,"Dollars",0
"198","Lake","CA",2006,28083,"Dollars",0
"199","Lake","CA",2007,29238,"Dollars",0
"200","Lake","CA",2008,29594,"Dollars",0
"201","Lake","CA",2009,29672,"Dollars",0
"202","Lake","CA",2010,31081,"Dollars",0
"203","Lake","CA",2011,31444,"Dollars",0
"204","Lake","CA",2012,32005,"Dollars",0
"205","Lassen","CA",2004,21687,"Dollars",0
"206","Lassen","CA",2005,22292,"Dollars",0
"207","Lassen","CA",2006,23805,"Dollars",0
"208","Lassen","CA",2007,24905,"Dollars",0
"209","Lassen","CA",2008,26750,"Dollars",0
"210","Lassen","CA",2009,26202,"Dollars",0
"211","Lassen","CA",2010,27575,"Dollars",0
"212","Lassen","CA",2011,28218,"Dollars",0
"213","Lassen","CA",2012,28086,"Dollars",0
"214","Lassen","CA",2013,28498,"Dollars",0
"215","Lassen","CA",2014,29488,"Dollars",0
"216","Lassen","CA",2015,31092,"Dollars",0
"217","Los Angeles","CA",2004,34494,"Dollars",0
"218","Los Angeles","CA",2005,36606,"Dollars",0
"219","Los Angeles","CA",2006,39784,"Dollars",0
"220","Los Angeles","CA",2007,41765,"Dollars",0
"221","Los Angeles","CA",2008,42732,"Dollars",0
"222","Los Angeles","CA",2009,41229,"Dollars",0
"223","Los Angeles","CA",2010,42794,"Dollars",0
"224","Los Angeles","CA",2011,45439,"Dollars",0
"225","Los Angeles","CA",2012,48075,"Dollars",0
"226","Los Angeles","CA",2013,47541,"Dollars",0
"227","Los Angeles","CA",2014,50052,"Dollars",0
"228","Los Angeles","CA",2015,53067,"Dollars",0
"229","Madera","CA",2004,23665,"Dollars",0
"230","Madera","CA",2005,24126,"Dollars",0
"231","Madera","CA",2006,24905,"Dollars",0
"232","Madera","CA",2007,26800,"Dollars",0
"233","Madera","CA",2008,26478,"Dollars",0
"234","Madera","CA",2009,25595,"Dollars",0
"235","Madera","CA",2010,28121,"Dollars",0
"236","Madera","CA",2011,29341,"Dollars",0
"237","Madera","CA",2012,30904,"Dollars",0
"238","Madera","CA",2013,32072,"Dollars",0
"239","Madera","CA",2014,33801,"Dollars",0
"240","Madera","CA",2015,34323,"Dollars",0
"241","Marin","CA",2013,95473,"Dollars",0
"242","Marin","CA",2014,102032,"Dollars",0
"243","Marin","CA",2015,109274,"Dollars",0
"244","Marin","CA",2004,76517,"Dollars",0
"245","Marin","CA",2005,80034,"Dollars",0
"246","Marin","CA",2006,86274,"Dollars",0
"247","Marin","CA",2007,88333,"Dollars",0
"248","Marin","CA",2008,89322,"Dollars",0
"249","Marin","CA",2009,81770,"Dollars",0
"250","Marin","CA",2010,83247,"Dollars",0
"251","Marin","CA",2011,89206,"Dollars",0
"252","Marin","CA",2012,94993,"Dollars",0
"253","Mariposa","CA",2004,28313,"Dollars",0
"254","Mariposa","CA",2005,29557,"Dollars",0
"255","Mariposa","CA",2006,31371,"Dollars",0
"256","Mariposa","CA",2007,33037,"Dollars",0
"257","Mariposa","CA",2008,34105,"Dollars",0
"258","Mariposa","CA",2009,34556,"Dollars",0
"259","Mariposa","CA",2010,36244,"Dollars",0
"260","Mariposa","CA",2011,36741,"Dollars",0
"261","Mariposa","CA",2012,37665,"Dollars",0
"262","Mariposa","CA",2013,38320,"Dollars",0
"263","Mariposa","CA",2014,40809,"Dollars",0
"264","Mariposa","CA",2015,43701,"Dollars",0
"265","Mendocino","CA",2004,29613,"Dollars",0
"266","Mendocino","CA",2005,29830,"Dollars",0
"267","Mendocino","CA",2006,31822,"Dollars",0
"268","Mendocino","CA",2007,33603,"Dollars",0
"269","Mendocino","CA",2008,34438,"Dollars",0
"270","Mendocino","CA",2009,34822,"Dollars",0
"271","Mendocino","CA",2010,37858,"Dollars",0
"272","Mendocino","CA",2011,37658,"Dollars",0
"273","Mendocino","CA",2012,37262,"Dollars",0
"274","Mendocino","CA",2013,37882,"Dollars",0
"275","Mendocino","CA",2014,40074,"Dollars",0
"276","Mendocino","CA",2015,41701,"Dollars",0
"277","Merced","CA",2004,24467,"Dollars",0
"278","Merced","CA",2005,24839,"Dollars",0
"279","Merced","CA",2006,25255,"Dollars",0
"280","Merced","CA",2007,27971,"Dollars",0
"281","Merced","CA",2008,26809,"Dollars",0
"282","Merced","CA",2009,26855,"Dollars",0
"283","Merced","CA",2010,27985,"Dollars",0
"284","Merced","CA",2011,29817,"Dollars",0
"285","Merced","CA",2012,30248,"Dollars",0
"286","Merced","CA",2013,31492,"Dollars",0
"287","Merced","CA",2014,34240,"Dollars",0
"288","Merced","CA",2015,35167,"Dollars",0
"289","Modoc","CA",2014,40683,"Dollars",0
"290","Modoc","CA",2013,37643,"Dollars",0
"291","Modoc","CA",2012,36311,"Dollars",0
"292","Modoc","CA",2011,36359,"Dollars",0
"293","Modoc","CA",2010,35092,"Dollars",0
"294","Modoc","CA",2009,34678,"Dollars",0
"295","Modoc","CA",2008,33033,"Dollars",0
"296","Modoc","CA",2007,30145,"Dollars",0
"297","Modoc","CA",2006,27930,"Dollars",0
"298","Modoc","CA",2005,27383,"Dollars",0
"299","Modoc","CA",2004,25755,"Dollars",0
"300","Modoc","CA",2015,42461,"Dollars",0
"301","Mono","CA",2013,41157,"Dollars",0
"302","Mono","CA",2014,42683,"Dollars",0
"303","Mono","CA",2015,44056,"Dollars",0
"304","Mono","CA",2004,35830,"Dollars",0
"305","Mono","CA",2005,38459,"Dollars",0
"306","Mono","CA",2006,37171,"Dollars",0
"307","Mono","CA",2007,37698,"Dollars",0
"308","Mono","CA",2008,39089,"Dollars",0
"309","Mono","CA",2009,38355,"Dollars",0
"310","Mono","CA",2010,40528,"Dollars",0
"311","Mono","CA",2011,41168,"Dollars",0
"312","Mono","CA",2012,40329,"Dollars",0
"313","Monterey","CA",2013,44355,"Dollars",0
"314","Monterey","CA",2014,46374,"Dollars",0
"315","Monterey","CA",2015,49757,"Dollars",0
"316","Monterey","CA",2004,34337,"Dollars",0
"317","Monterey","CA",2005,35856,"Dollars",0
"318","Monterey","CA",2006,39070,"Dollars",0
"319","Monterey","CA",2007,40621,"Dollars",0
"320","Monterey","CA",2008,40435,"Dollars",0
"321","Monterey","CA",2009,40094,"Dollars",0
"322","Monterey","CA",2010,41004,"Dollars",0
"323","Monterey","CA",2011,41452,"Dollars",0
"324","Monterey","CA",2012,42873,"Dollars",0
"325","Napa","CA",2004,41480,"Dollars",0
"326","Napa","CA",2005,43781,"Dollars",0
"327","Napa","CA",2006,45918,"Dollars",0
"328","Napa","CA",2007,47390,"Dollars",0
"329","Napa","CA",2008,47212,"Dollars",0
"330","Napa","CA",2009,46041,"Dollars",0
"331","Napa","CA",2010,46720,"Dollars",0
"332","Napa","CA",2011,48198,"Dollars",0
"333","Napa","CA",2012,52821,"Dollars",0
"334","Napa","CA",2013,54298,"Dollars",0
"335","Napa","CA",2014,58241,"Dollars",0
"336","Napa","CA",2015,62781,"Dollars",0
"337","Nevada","CA",2013,49191,"Dollars",0
"338","Nevada","CA",2014,51373,"Dollars",0
"339","Nevada","CA",2015,53134,"Dollars",0
"340","Nevada","CA",2004,37838,"Dollars",0
"341","Nevada","CA",2005,39031,"Dollars",0
"342","Nevada","CA",2006,42079,"Dollars",0
"343","Nevada","CA",2007,44042,"Dollars",0
"344","Nevada","CA",2008,43798,"Dollars",0
"345","Nevada","CA",2009,43670,"Dollars",0
"346","Nevada","CA",2010,45650,"Dollars",0
"347","Nevada","CA",2011,47210,"Dollars",0
"348","Nevada","CA",2012,48696,"Dollars",0
"349","Orange","CA",2013,53545,"Dollars",0
"350","Orange","CA",2014,55461,"Dollars",0
"351","Orange","CA",2015,59242,"Dollars",0
"352","Orange","CA",2004,43948,"Dollars",0
"353","Orange","CA",2005,46849,"Dollars",0
"354","Orange","CA",2006,50360,"Dollars",0
"355","Orange","CA",2007,50670,"Dollars",0
"356","Orange","CA",2008,49571,"Dollars",0
"357","Orange","CA",2009,46192,"Dollars",0
"358","Orange","CA",2010,48646,"Dollars",0
"359","Orange","CA",2011,51265,"Dollars",0
"360","Orange","CA",2012,54321,"Dollars",0
"361","Placer","CA",2013,52942,"Dollars",0
"362","Placer","CA",2012,52292,"Dollars",0
"363","Placer","CA",2011,49609,"Dollars",0
"364","Placer","CA",2010,47680,"Dollars",0
"365","Placer","CA",2009,46208,"Dollars",0
"366","Placer","CA",2008,47800,"Dollars",0
"367","Placer","CA",2007,46918,"Dollars",0
"368","Placer","CA",2006,46336,"Dollars",0
"369","Placer","CA",2005,44390,"Dollars",0
"370","Placer","CA",2004,43207,"Dollars",0
"371","Placer","CA",2015,58519,"Dollars",0
"372","Placer","CA",2014,55204,"Dollars",0
"373","Plumas","CA",2004,32909,"Dollars",0
"374","Plumas","CA",2005,32845,"Dollars",0
"375","Plumas","CA",2006,34829,"Dollars",0
"376","Plumas","CA",2007,35702,"Dollars",0
"377","Plumas","CA",2008,37198,"Dollars",0
"378","Plumas","CA",2009,37641,"Dollars",0
"379","Plumas","CA",2010,39409,"Dollars",0
"380","Plumas","CA",2011,39560,"Dollars",0
"381","Plumas","CA",2012,39094,"Dollars",0
"382","Plumas","CA",2013,40346,"Dollars",0
"383","Plumas","CA",2014,42932,"Dollars",0
"384","Plumas","CA",2015,44091,"Dollars",0
"385","Riverside","CA",2004,27898,"Dollars",0
"386","Riverside","CA",2005,29226,"Dollars",0
"387","Riverside","CA",2006,30795,"Dollars",0
"388","Riverside","CA",2007,31497,"Dollars",0
"389","Riverside","CA",2008,31615,"Dollars",0
"390","Riverside","CA",2009,30615,"Dollars",0
"391","Riverside","CA",2010,30970,"Dollars",0
"392","Riverside","CA",2011,32420,"Dollars",0
"393","Riverside","CA",2012,32828,"Dollars",0
"394","Riverside","CA",2013,33565,"Dollars",0
"395","Riverside","CA",2014,34786,"Dollars",0
"396","Riverside","CA",2015,36590,"Dollars",0
"397","Sacramento","CA",2013,41581,"Dollars",0
"398","Sacramento","CA",2014,43469,"Dollars",0
"399","Sacramento","CA",2015,45866,"Dollars",0
"400","Sacramento","CA",2004,34253,"Dollars",0
"401","Sacramento","CA",2005,35225,"Dollars",0
"402","Sacramento","CA",2006,36975,"Dollars",0
"403","Sacramento","CA",2007,38310,"Dollars",0
"404","Sacramento","CA",2008,39055,"Dollars",0
"405","Sacramento","CA",2009,37892,"Dollars",0
"406","Sacramento","CA",2010,38280,"Dollars",0
"407","Sacramento","CA",2011,39655,"Dollars",0
"408","Sacramento","CA",2012,40623,"Dollars",0
"409","San Benito","CA",2013,39293,"Dollars",0
"410","San Benito","CA",2014,40388,"Dollars",0
"411","San Benito","CA",2015,44028,"Dollars",0
"412","San Benito","CA",2004,30510,"Dollars",0
"413","San Benito","CA",2005,31674,"Dollars",0
"414","San Benito","CA",2006,34115,"Dollars",0
"415","San Benito","CA",2007,36659,"Dollars",0
"416","San Benito","CA",2008,36718,"Dollars",0
"417","San Benito","CA",2009,35974,"Dollars",0
"418","San Benito","CA",2010,35929,"Dollars",0
"419","San Benito","CA",2011,36937,"Dollars",0
"420","San Benito","CA",2012,37878,"Dollars",0
"421","San Bernardino","CA",2004,26680,"Dollars",0
"422","San Bernardino","CA",2005,27610,"Dollars",0
"423","San Bernardino","CA",2006,28874,"Dollars",0
"424","San Bernardino","CA",2007,29882,"Dollars",0
"425","San Bernardino","CA",2008,29963,"Dollars",0
"426","San Bernardino","CA",2009,28955,"Dollars",0
"427","San Bernardino","CA",2010,29436,"Dollars",0
"428","San Bernardino","CA",2011,30773,"Dollars",0
"429","San Bernardino","CA",2012,31261,"Dollars",0
"430","San Bernardino","CA",2013,31889,"Dollars",0
"431","San Bernardino","CA",2014,33381,"Dollars",0
"432","San Bernardino","CA",2015,35179,"Dollars",0
"433","San Diego","CA",2004,39831,"Dollars",0
