"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"131","Crowley","CO",2014,18082,"Dollars",0
"132","Crowley","CO",2015,20930,"Dollars",0
"133","Custer","CO",2013,37699,"Dollars",0
"134","Custer","CO",2014,40880,"Dollars",0
"135","Custer","CO",2015,43302,"Dollars",0
"136","Custer","CO",2004,28377,"Dollars",0
"137","Custer","CO",2005,27486,"Dollars",0
"138","Custer","CO",2006,29122,"Dollars",0
"139","Custer","CO",2007,30833,"Dollars",0
"140","Custer","CO",2008,32928,"Dollars",0
"141","Custer","CO",2009,33113,"Dollars",0
"142","Custer","CO",2010,31163,"Dollars",0
"143","Custer","CO",2011,35508,"Dollars",0
"144","Custer","CO",2012,34556,"Dollars",0
"145","Delta","CO",2013,31267,"Dollars",0
"146","Delta","CO",2014,32636,"Dollars",0
"147","Delta","CO",2015,33584,"Dollars",0
"148","Delta","CO",2004,23343,"Dollars",0
"149","Delta","CO",2005,24844,"Dollars",0
"150","Delta","CO",2006,26378,"Dollars",0
"151","Delta","CO",2007,29098,"Dollars",0
"152","Delta","CO",2008,29291,"Dollars",0
"153","Delta","CO",2009,28425,"Dollars",0
"154","Delta","CO",2010,28430,"Dollars",0
"155","Delta","CO",2011,30811,"Dollars",0
"156","Delta","CO",2012,31102,"Dollars",0
"157","Denver","CO",2004,41506,"Dollars",0
"158","Denver","CO",2005,45769,"Dollars",0
"159","Denver","CO",2006,49967,"Dollars",0
"160","Denver","CO",2007,51386,"Dollars",0
"161","Denver","CO",2008,53724,"Dollars",0
"162","Denver","CO",2009,46123,"Dollars",0
"163","Denver","CO",2010,47939,"Dollars",0
"164","Denver","CO",2011,53542,"Dollars",0
"165","Denver","CO",2012,56928,"Dollars",0
"166","Denver","CO",2013,62142,"Dollars",0
"167","Denver","CO",2014,68252,"Dollars",0
"168","Denver","CO",2015,67395,"Dollars",0
"169","Dolores","CO",2013,30958,"Dollars",0
"170","Dolores","CO",2014,32026,"Dollars",0
"171","Dolores","CO",2015,34304,"Dollars",0
"172","Dolores","CO",2004,21079,"Dollars",0
"173","Dolores","CO",2005,22717,"Dollars",0
"174","Dolores","CO",2006,22470,"Dollars",0
"175","Dolores","CO",2007,25242,"Dollars",0
"176","Dolores","CO",2008,23367,"Dollars",0
"177","Dolores","CO",2009,25182,"Dollars",0
"178","Dolores","CO",2010,24871,"Dollars",0
"179","Dolores","CO",2011,30310,"Dollars",0
"180","Dolores","CO",2012,29529,"Dollars",0
"181","Douglas","CO",2004,41413,"Dollars",0
"182","Douglas","CO",2005,46470,"Dollars",0
"183","Douglas","CO",2006,51028,"Dollars",0
"184","Douglas","CO",2007,54689,"Dollars",0
"185","Douglas","CO",2008,56529,"Dollars",0
"186","Douglas","CO",2009,55378,"Dollars",0
"187","Douglas","CO",2010,54316,"Dollars",0
"188","Douglas","CO",2011,57523,"Dollars",0
"189","Douglas","CO",2012,61160,"Dollars",0
"190","Douglas","CO",2013,63218,"Dollars",0
"191","Douglas","CO",2014,66509,"Dollars",0
"192","Douglas","CO",2015,61451,"Dollars",0
"193","Eagle","CO",2013,55781,"Dollars",0
"194","Eagle","CO",2014,59998,"Dollars",0
"195","Eagle","CO",2015,65425,"Dollars",0
"196","Eagle","CO",2004,44552,"Dollars",0
"197","Eagle","CO",2005,48482,"Dollars",0
"198","Eagle","CO",2006,55181,"Dollars",0
"199","Eagle","CO",2007,60622,"Dollars",0
"200","Eagle","CO",2008,56729,"Dollars",0
"201","Eagle","CO",2009,48617,"Dollars",0
"202","Eagle","CO",2010,43781,"Dollars",0
"203","Eagle","CO",2011,46392,"Dollars",0
"204","Eagle","CO",2012,47577,"Dollars",0
"205","Elbert","CO",2013,47758,"Dollars",0
"206","Elbert","CO",2014,50141,"Dollars",0
"207","Elbert","CO",2015,52011,"Dollars",0
"208","Elbert","CO",2004,34989,"Dollars",0
"209","Elbert","CO",2005,36645,"Dollars",0
"210","Elbert","CO",2006,37341,"Dollars",0
"211","Elbert","CO",2007,40282,"Dollars",0
"212","Elbert","CO",2008,42293,"Dollars",0
"213","Elbert","CO",2009,41876,"Dollars",0
"214","Elbert","CO",2010,39126,"Dollars",0
"215","Elbert","CO",2011,48200,"Dollars",0
"216","Elbert","CO",2012,44851,"Dollars",0
"217","El Paso","CO",2013,40905,"Dollars",0
"218","El Paso","CO",2014,42776,"Dollars",0
"219","El Paso","CO",2015,44157,"Dollars",0
"220","El Paso","CO",2004,32864,"Dollars",0
"221","El Paso","CO",2005,34356,"Dollars",0
"222","El Paso","CO",2006,35414,"Dollars",0
"223","El Paso","CO",2007,36994,"Dollars",0
"224","El Paso","CO",2008,37893,"Dollars",0
"225","El Paso","CO",2009,37780,"Dollars",0
"226","El Paso","CO",2010,38311,"Dollars",0
"227","El Paso","CO",2011,40242,"Dollars",0
"228","El Paso","CO",2012,41099,"Dollars",0
"229","Fremont","CO",2013,27965,"Dollars",0
"230","Fremont","CO",2014,29310,"Dollars",0
"231","Fremont","CO",2015,30754,"Dollars",0
"232","Fremont","CO",2004,21325,"Dollars",0
"233","Fremont","CO",2005,21754,"Dollars",0
"234","Fremont","CO",2006,22408,"Dollars",0
"235","Fremont","CO",2007,23667,"Dollars",0
"236","Fremont","CO",2008,25075,"Dollars",0
"237","Fremont","CO",2009,25327,"Dollars",0
"238","Fremont","CO",2010,25915,"Dollars",0
"239","Fremont","CO",2011,27057,"Dollars",0
"240","Fremont","CO",2012,27208,"Dollars",0
"241","Garfield","CO",2013,44257,"Dollars",0
"242","Garfield","CO",2014,49383,"Dollars",0
"243","Garfield","CO",2015,54316,"Dollars",0
"244","Garfield","CO",2004,33259,"Dollars",0
"245","Garfield","CO",2005,36351,"Dollars",0
"246","Garfield","CO",2006,40351,"Dollars",0
"247","Garfield","CO",2007,43418,"Dollars",0
"248","Garfield","CO",2008,45065,"Dollars",0
"249","Garfield","CO",2009,41090,"Dollars",0
"250","Garfield","CO",2010,37582,"Dollars",0
"251","Garfield","CO",2011,40133,"Dollars",0
"252","Garfield","CO",2012,41972,"Dollars",0
"253","Gilpin","CO",2013,43002,"Dollars",0
"254","Gilpin","CO",2014,43111,"Dollars",0
"255","Gilpin","CO",2015,45889,"Dollars",0
"256","Gilpin","CO",2004,39476,"Dollars",0
"257","Gilpin","CO",2005,48428,"Dollars",0
"258","Gilpin","CO",2006,47102,"Dollars",0
"259","Gilpin","CO",2007,42908,"Dollars",0
"260","Gilpin","CO",2008,41390,"Dollars",0
"261","Gilpin","CO",2009,37400,"Dollars",0
"262","Gilpin","CO",2010,36650,"Dollars",0
"263","Gilpin","CO",2011,36666,"Dollars",0
"264","Gilpin","CO",2012,37323,"Dollars",0
"265","Grand","CO",2004,30581,"Dollars",0
"266","Grand","CO",2005,31497,"Dollars",0
"267","Grand","CO",2006,32607,"Dollars",0
"268","Grand","CO",2007,34157,"Dollars",0
"269","Grand","CO",2008,33991,"Dollars",0
"270","Grand","CO",2009,31559,"Dollars",0
"271","Grand","CO",2010,30937,"Dollars",0
"272","Grand","CO",2011,34564,"Dollars",0
